epoch,train loss,train acc
0,0.896173857945077,0.7726617907801417
1,0.3014429966185955,0.9032856826241136
2,0.23849709363693886,0.9198526152482269
3,0.2096543750388825,0.9280529698581561
4,0.1761565130758793,0.9385527482269503
5,0.16057702510597857,0.9448969414893617
6,0.14131542719266516,0.9499390514184397
7,0.12197658538501313,0.9549534574468085
8,0.11456587411304738,0.9585272606382979
9,0.10335822720476921,0.9628213652482269
10,0.08935839611482113,0.9670323581560284
11,0.07836022077405706,0.9729332890070922
12,0.07418658287125698,0.9742630762411348
13,0.06699882550759519,0.9767564273049646
14,0.060160646571757945,0.9787788120567376
15,0.055731239550291224,0.9799977836879433
16,0.04778865877380396,0.9843195921985816
17,0.04367959174386998,0.985012189716312
18,0.042895532629274306,0.9851784131205673
19,0.03956425721023945,0.9859818262411348
20,0.03276451950536129,0.9895833333333333
21,0.03141200484985367,0.9890846631205673
22,0.02252570248426909,0.9936558067375886
23,0.0243723591829234,0.9922429078014184
24,0.019195619316652736,0.9946254432624114
25,0.017375205227352204,0.9949578900709221
26,0.019933893602896244,0.9939051418439716
27,0.019386018606576513,0.9946531471631205
28,0.017689851964724824,0.9946808510638298
29,0.011346590586323688,0.9970633865248226
30,0.011669462982644426,0.9972296099290779
31,0.008084485901797072,0.9984208776595744
32,0.008774257819861808,0.9980607269503545
33,0.011028417009622492,0.9970079787234043
34,0.011816247797353154,0.996592420212766
35,0.0058176351953892315,0.9987533244680851
36,0.004910374033027031,0.9991688829787234
37,0.004226357180704462,0.9993351063829787
38,0.011486585311433102,0.9961491578014184
39,0.014742607171548175,0.9952349290780141
40,0.011039902485827816,0.9969248670212766
41,0.008761286715719295,0.9971187943262412
42,0.009917624479288513,0.9967586436170213
43,0.007918157159013952,0.9978113918439716
44,0.005455463515356817,0.9990857712765957
45,0.002665369340436573,0.9999168882978723
46,0.0013764769450682116,1.0
47,0.0018648279315613685,0.999750664893617
48,0.0012991468129838085,1.0
49,0.0009900661355052936,1.0
50,0.0011726487694218993,0.9999168882978723
51,0.0008795668520875513,1.0
52,0.0008632504638839276,1.0
53,0.0006777731345054951,1.0
54,0.000624296446751922,1.0
55,0.0005960055884528668,1.0
56,0.0005096122888759016,1.0
57,0.0005055717226647911,1.0
