epoch,train loss,train acc
0,2.1402712578469134,0.30953568262411346
1,0.4992758270273817,0.8353834219858156
2,0.32373035873504397,0.8932014627659575
3,0.26090904198428416,0.9114583333333333
4,0.21954553193868476,0.9253102836879433
5,0.19709111108107769,0.9333167109929078
6,0.19828097989901583,0.9283300088652482
7,0.1581177201042784,0.9446199024822695
8,0.14903080804233856,0.9498005319148937
9,0.11923730670613178,0.9564494680851063
10,0.11679524635063841,0.9576130319148937
11,0.10445024707215897,0.9614915780141844
12,0.10012458395609196,0.9635139627659575
13,0.09488400099600883,0.9633200354609929
14,0.09180659848324796,0.9646775265957447
15,0.07094118288381303,0.9746786347517731
16,0.07852156210611476,0.9710494237588652
17,0.06769461884222766,0.9757036790780141
18,0.05633846797207569,0.9792497783687943
19,0.06521292926466211,0.9764793882978723
20,0.053752748216403294,0.9802748226950354
21,0.04829494659095369,0.9828789893617021
22,0.0670828779247847,0.975177304964539
23,0.06629287463394885,0.9763408687943262
24,0.05085896364750063,0.9810228280141844
25,0.0329201504528681,0.9884474734042553
26,0.03411157239981471,0.9878656914893617
27,0.039209878151404094,0.9862034574468085
28,0.03317739760275296,0.9881150265957447
29,0.03672348046080863,0.9883643617021277
30,0.024436101624543998,0.991439494680851
31,0.018653931903672663,0.9935172872340425
32,0.021066506551776793,0.9926584663120567
33,0.039798052069988654,0.9868129432624114
34,0.04784294031560421,0.9836546985815603
35,0.03579116151965362,0.9870068705673758
36,0.060640334899715605,0.9801363031914894
37,0.02716021947166387,0.9901097074468085
38,0.01443710262847549,0.9952626329787234
39,0.016786331615529636,0.9940990691489362
40,0.02059394590794406,0.992824689716312
41,0.012197124712327694,0.9957613031914894
42,0.01130322886115693,0.99609375
43,0.008343861101472632,0.9972573138297872
44,0.00314719127887424,0.9993074024822695
45,0.0008237320162539192,1.0
46,0.0005067025727414071,1.0
47,0.00036957907549878385,1.0
48,0.00031019274327728124,1.0
49,0.00022791809541113832,1.0
50,0.00019921383535163726,1.0
51,0.00018186653231052642,1.0
52,0.00015308467526607429,1.0
53,0.000140502705223898,1.0
54,0.00013098834042853498,1.0
