epoch,train loss,train acc
0,1.2398234345811479,0.6209552304964538
1,0.5978237964371418,0.8079011524822695
2,0.46524491652529293,0.8480718085106383
3,0.39106479604193506,0.8684895833333333
4,0.32814528555312056,0.8889073581560284
5,0.29159905935855623,0.8988253546099291
6,0.2539457994255614,0.9121232269503545
7,0.2251181591381418,0.9214317375886524
8,0.20763323471901265,0.9278867464539008
9,0.18298418257147708,0.9342586436170213
10,0.15119803807836898,0.944564494680851
11,0.13450179585909589,0.9522107712765957
12,0.11803139448958508,0.9584441489361702
13,0.10401335414102737,0.962322695035461
14,0.09982131643498197,0.9641511524822695
15,0.09450682280387016,0.9657856826241136
16,0.07821380612539484,0.9734319592198583
17,0.07472479660460289,0.9730164007092199
18,0.06317565162131127,0.9799423758865248
19,0.055785546237800986,0.9824911347517731
20,0.04217073792948368,0.9862865691489362
21,0.03736625231326895,0.9884474734042553
22,0.03646971463681536,0.9883089539007093
23,0.029646414015045825,0.9909962322695035
24,0.034799171453143686,0.9869791666666667
25,0.02385651189437572,0.9921043882978723
26,0.023945706837037777,0.9931017287234043
27,0.022233461336965892,0.9938497340425532
28,0.020468690729838736,0.9929078014184397
29,0.014835432300621525,0.9960106382978723
30,0.02030695800451522,0.993074024822695
31,0.01656392178042455,0.9954288563829787
32,0.010878026475535428,0.9967586436170213
33,0.007057285808185314,0.9985039893617021
34,0.004067755311707708,0.9996675531914894
35,0.00312017467110715,0.999750664893617
36,0.0025119750322080514,0.9999168882978723
37,0.0018812216399732898,1.0
38,0.0016038441062072649,1.0
39,0.0014507064844749154,1.0
40,0.001375029906952516,1.0
41,0.0012185274762042024,1.0
42,0.0011632025822070724,1.0
43,0.0010825758075410936,1.0
44,0.0009914127226790135,1.0
45,0.0009212834720915936,1.0
46,0.000881429523863691,1.0
47,0.0008491900423789357,1.0
48,0.0008079123731573767,1.0
49,0.0007753527018568538,1.0
50,0.000736663685839108,1.0
51,0.0007347448975432347,1.0
